Timestamp,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Primary Encoder Velocity,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Current,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Current,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Primary Encoder Velocity,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Ext EEPROM Warning,SparkMax/////cc596fcc-45e9-4a23-8b44-0e26a54f0d3d Brownout Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Primary Encoder Velocity,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Ext EEPROM Sticky Warning,SparkMax/////12c5eae9-f668-44de-a196-736add5fa54e Current,SparkMax/////f2e4c326-a20a-4966-9422-e45ddde51ed1 Primary Encoder Velocity,SparkMax/////0b40ef0b-5702-416a-af0d-e1724e98f644 Brownout Sticky Warning
1771298527067,,,,,-0.041225749999284744,,,,,,,
1771298527084,,,,0,,,,,,,,
1771298527105,,,,,,,0,,,,,
1771298527124,,,,,,0,,,,,,
1771298527163,,,,,,,,,0,,,
1771298527221,,,,,,,,0.010820046998560429,,,,
1771298527271,,,,,,,,,,,-89.15657806396484,
1771298527339,,,,,,,,,,2.4175824175824157,,
1771298527361,,,,,,,,,,,,0
1771298527377,36.996336996336964,,,,,,,,,,,
1771298527407,,,0,,,,,,,,,
1771298527426,,0.010683084838092327,,,,,,,,,,
1771298527446,,,,,0.088066965341568,,,,,,,
1771298527464,,,,0.0366300366300366,,,,,,,,
1771298527500,,,,,,,0,,,,,
1771298527517,,,,,,0,,,,,,
1771298527535,,,,,,,,,0,,,
1771298527557,,,,,,,,-0.13203196227550507,,,,
1771298527577,,,,,,,,,,,-88.55818176269531,
1771298527596,,,,,,,,,,2.6739926739926716,,
1771298527617,37.399267399267366,,,,,,,,,,,
1771298527640,,,,,,,,,,,,0
1771298527684,,,0,,,,,,,,,
1771298527704,,-0.06396155059337616,,,,,,,,,,
1771298527724,,,,,0.03218621760606766,,,,,,,
1771298527745,,,,0.4395604395604392,,,,,,,,
1771298527765,,,,,,,0,,,,,
1771298527784,,,,,,0,,,,,,
1771298527805,,,,,,,,,0,,,
1771298527826,,,,,,,,0.10231108218431473,,,,
1771298527843,,,,,,,,,,,-89.15657806396484,
1771298527879,,,,,,,,,,3.2600732600732574,,
1771298527895,39.01098901098898,,,,,,,,,,,
1771298527918,,,,,,,,,,,,0
