Timestamp,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current
1771296352362,-8.870657920837402,,,,,,,,,,,
1771296352382,,0,,,,,,,,,,
1771296352405,,,5.787545787545783,,,,,,,,,
1771296352429,,,,-8.377429008483887,,,,,,,,
1771296352448,,,,,,0,,,,,,
1771296352467,,,,,0.4761904761904758,,,,,,,
1771296352488,,,,,,,8.704248428344727,,,,,
1771296352510,,,,,,,,0,,,,
1771296352533,,,,,,,,,4.505494505494502,,,
1771296352552,,,,,,,,,,9.029123306274414,,
1771296352575,,,,,,,,,,,0,
1771296352597,,,,,,,,,,,,6.007326007326002
1771296352616,-9.152800559997559,,,,,,,,,,,
1771296352634,,0,,,,,,,,,,
1771296352653,,,5.860805860805856,,,,,,,,,
1771296352669,,,,-8.975828170776367,,,,,,,,
1771296352687,,,,,,0,,,,,,
1771296352707,,,,,0.1098901098901098,,,,,,,
1771296352729,,,,,,,8.716574668884277,,,,,
1771296352749,,,,,,,,,4.688644688644684,,,
1771296352769,,,,,,,,0,,,,
1771296352788,,,,,,,,,,9.039122581481934,,
1771296352809,,,,,,,,,,,0,
1771296352832,,,,,,,,,,,,4.725274725274722
1771296352853,-9.011866569519043,,,,,,,,,,,
1771296352876,,0,,,,,,,,,,
1771296352894,,,4.395604395604392,,,,,,,,,
1771296352912,,,,-8.975828170776367,,,,,,,,
1771296352932,,,,,,0,,,,,,
1771296352950,,,,,0.3296703296703294,,,,,,,
1771296352967,,,,,,,8.9941987991333,,,,,
1771296352989,,,,,,,,,5.677655677655673,,,
1771296353009,,,,,,,,0,,,,
1771296353028,,,,,,,,,,8.64645004272461,,
1771296353049,,,,,,,,,,,0,
