Timestamp,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Current,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Primary Encoder Velocity,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Brownout Sticky Warning,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Current,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Primary Encoder Velocity,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Ext EEPROM Warning,SparkMax/////5e2edcf3-cb89-490e-ad3b-ad742be67f38 Current,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Primary Encoder Velocity,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Ext EEPROM Sticky Warning,SparkMax/////e62ff991-025d-4594-b04f-7ead8f58ef50 Current,SparkMax/////0fbe6779-b3fb-47f4-a4e4-9bb8ac67eb90 Primary Encoder Velocity,SparkMax/////825fbe63-969a-45f6-a698-b89e5f86de1a Brownout Warning
1771295576643,,,,,,,,,0,,,
1771295576661,,,,,,,,,,0,,
1771295576682,,,,,,,,,,,-9.986858913180185e-7,
1771295576703,,,,,,,,,,,,0
1771295576724,,,0,,,,,,,,,
1771295576758,0,,,,,,,,,,,
1771295576780,,3.973559617996216,,,,,,,,,,
1771295576800,,,,,4.464296817779541,,,,,,,
1771295576831,,,,12.710622710622701,,,,,,,,
1771295576854,,,,,,,6.593406593406588,,,,,
1771295576873,,,,,,0,,,,,,
1771295576897,,,,,,,,0.00999827217310667,,,,
1771295576916,,,,,,,,,0,,,
1771295576936,,,,,,,,,,0,,
1771295576957,,,,,,,,,,,-9.986858913180185e-7,
1771295576976,0,,,,,,,,,,,
1771295576995,,,,,,,,,,,,0
1771295577012,,,0,,,,,,,,,
1771295577029,,3.7774291038513184,,,,,,,,,,
1771295577051,,,,,3.6890881061553955,,,,,,,
1771295577076,,,,13.443223443223433,,,,,,,,
1771295577094,,,,,,,5.641025641025636,,,,,
1771295577113,,,,,,0,,,,,,
